symbol,date,num,level,level2,level3
CA,2007,12132327,50.8,51.2,58.3
CA,2008,12389673,51.1,51.8,58.1
CA,2009,12731188,51.6,52.8,59
CA,2010,13099396,52.3,52.7,60.8
CA,2011,13211116,52.1,54.3,59.6
CA,2012,13485120,52.5,52.8,59.9
CA,2013,13941347,53.6,56.6,60.7
CA,2014,14222521,54,54.5,61.8
NL,2007,238457,62.8,58.1,68.8
NL,2008,240811,63.5,71.2,69.4
NL,2009,248880,64.6,69.1,73.1
NL,2010,243231,63.2,63.6,67.2
NL,2011,265177,69.3,72.3,74
NL,2012,243825,63.2,70.6,70.1
NL,2013,266823,69.2,73,77
NL,2014,272818,67.5,76.3,73.7
PEI,2007,59941,59.9,64.8,63.6
PEI,2008,60371,59.5,69.9,63.9
PEI,2009,58943,59,62.8,63.8
PEI,2010,58396,56.6,60,58.4
PEI,2011,60836,57.6,51.2,66.2
PEI,2012,66801,61.3,63.8,64.8
PEI,2013,68979,64.4,52.2,74.2
PEI,2014,65238,61,67.6,64.2
NS,2007,238457,57.7,57.2,65.2
NS,2008,240811,63.2,66.5,68.5
NS,2009,248880,60.3,58.3,66.8
NS,2010,243231,61.1,62.8,68.2
NS,2011,265177,61,63.7,69.8
NS,2012,243825,60.5,56.2,68.7
NS,2013,266823,61,58.9,70.2
NS,2014,272818,62.6,66.6,69.1
NB,2007,59941,59.3,65.9,65
NB,2008,60371,61,63.1,68.4
NB,2009,58943,62.9,67.2,67.9
NB,2010,58396,62.8,60.1,71.5
NB,2011,60836,59.4,55.3,68.4
NB,2012,66801,60.8,67.7,69.8
NB,2013,68979,64.3,70.4,69.9
NB,2014,65238,64,65.8,71.5
QC,2007,238457,48.5,50.5,56
QC,2008,240811,48,48.4,54.3
QC,2009,248880,49.2,50.7,56.5
QC,2010,243231,51.8,53.2,59.5
QC,2011,265177,50.1,51.6,57.4
QC,2012,243825,50.8,50.6,59.2
QC,2013,266823,53,57.7,58.5
QC,2014,272818,51.4,51,58.4
ON,2007,59941,51.6,52,59.5
ON,2008,60371,51.6,52.9,58.6
ON,2009,58943,51.4,51.1,59.2
ON,2010,58396,52.6,52.7,61.3
ON,2011,60836,52.3,54.4,59.9
ON,2012,66801,52.9,52,60.3
ON,2013,68979,53.2,53.4,62.2
ON,2014,65238,54.6,54,63
MN,2007,238457,55.6,55.3,63.7
MN,2008,240811,54.5,58.3,61.6
MN,2009,248880,58,63.3,67.5
MN,2010,243231,60.7,66,67.6
MN,2011,265177,58.4,63.1,67.2
MN,2012,243825,56.3,60.3,60
MN,2013,266823,56.9,71.6,64.6
MN,2014,272818,61.5,66.3,69.6
SK,2007,59941,56.1,53.7,65.6
SK,2008,60371,59.7,64.9,69.5
SK,2009,58943,58.6,58.7,68.9
SK,2010,58396,58.9,64.2,63.4
SK,2011,60836,59.4,66.1,66.9
SK,2012,66801,59.5,62.9,69.3
SK,2013,68979,61.1,70.9,67.8
SK,2014,65238,58.4,59.9,65.3
AB,2007,238457,53,53.6,60.1
AB,2008,240811,52.4,52.1,60.5
AB,2009,248880,55.1,58.6,62
AB,2010,243231,51.6,52,62.6
AB,2011,265177,52.2,57.8,58.9
AB,2012,243825,53.1,54.8,61.1
AB,2013,266823,54.6,61.6,60
AB,2014,272818,55,56.5,65.5
BC,2007,59941,43.9,41.2,50.6
BC,2008,60371,45.1,42.1,53
BC,2009,58943,45.1,46.6,51.6
BC,2010,58396,44.4,42.2,53.7
BC,2011,60836,46.6,46.4,54
BC,2012,66801,46.5,48,52.4
BC,2013,68979,46.9,49.1,52.7
BC,2014,65238,48,48.7,53.7
